Series,Issue,"Full Title",Genre,"Variant Description",Publisher,"Cover Date","Storage Box","Release Date","Release Year","Story Arc",Subtitle,Title,Variant,"Cover Price",Key,"Key Category","Key Reason",Barcode,"Cover Year",Artist,Characters,Colorist,"Cover Artist","Cover Colorist","Cover Inker","Cover Painter","Cover Penciller","Cover Separator",Creators,Editor,"Editor in Chief",Inker,Layouts,Letterer,Painter,Penciller,Plotter,Scripter,Separator,Translator,Writer
"Web of Spider-Man, Vol. 1",56,Skin-Deep,"Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 1989",L08a,"Nov 1989",1989,,,Skin-Deep,,,No,,,07148602527611,1989,,"Spider-Man (Peter Parker) | May Parker | Harry Osborn","Bob Sharen","Alex Saviuk",,,,,,"Gerry Conway | Alex Saviuk | Keith Williams","Jim Salicrup",,"Keith Williams",,"Rick Parker",,"Alex Saviuk",,,,,"Gerry Conway"
"Web of Spider-Man, Vol. 1",61,"Acts of Vengeance - Dragon In The Dark","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Feb 1990",L08a,"Feb 1990",1990,,,"Dragon In The Dark",,,No,,,07148602527602,1990,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Dr. Doom (Victor von Doom)","Bob Sharen","Alex Saviuk",,,,,,"Gerry Conway | Alex Saviuk | Keith Williams","Jim Salicrup","Tom DeFalco","Keith Williams",,"Rick Parker",,"Alex Saviuk",,,,,"Gerry Conway"
"Web of Spider-Man, Vol. 1",77,"Home Is Where The Terror Is!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jun 1991",L08a,"Jun 1991",1991,,,"Home Is Where The Terror Is!",,,No,,,07148602527606,1991,,"Spider-Man (Peter Parker) | May Parker | Eugene 'Flash' Thompson","Joe Rosas | Nel Yomtov | Bob Sharen","Alex Saviuk",,,,,,"Terry Kavanagh | Alex Saviuk | Keith Williams","Danny Fingeroth","Tom DeFalco","Keith Williams | Bud LaRosa",,"Rick Parker",,"Alex Saviuk",,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",81,"Living In Fear","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Oct 1991",L08a,"Oct 1991",1991,,,"Living In Fear",,1.00,No,,,07148602527610,1991,,"Spider-Man (Peter Parker) | Bloodshed (Wyndell Dichinson)","Bob Sharen","Sal Buscema",,,,,,"Kurt Busiek | Steven Butler | Chris Ivy","Danny Fingeroth","Tom DeFalco","Chris Ivy | Don Hudson",,"Rick Parker",,"Steven Butler",,,,,"Kurt Busiek"
"Web of Spider-Man, Vol. 1",82,"Pumping Up","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 1991",L08a,"Nov 1991",1991,,,"Pumping Up",,,No,,,07148602527611,1991,,"Spider-Man (Peter Parker) | Man Mountain Marko (Michael Marko)","Bob Sharen",,,"Don Hudson",,"Chris Marrinan",,"Kurt Busiek | Ron Wilson | Don Hudson","Danny Fingeroth","Tom DeFalco","Don Hudson",,"Brad K. Joyce",,"Ron Wilson",,,,,"Kurt Busiek"
"Web of Spider-Man, Vol. 1",90A,"The Spider's Thread","Action | Adventure | Super-Heroes","Hologram Cover","Marvel Comics","Jul 1992",L08a,"May 06, 1992",1992,,,"The Spider's Thread",A,,No,,,75960602865800111,1992,,"Spider-Man (Peter Parker) | Mary Jane Watson | Mysterio (Quentin Beck)","Bob Sharen","John Romita Sr.",,,,,,"Howard Mackie | Alex Saviuk | Sam De La Rosa","Eric Fein | Danny Fingeroth","Tom DeFalco","Sam De La Rosa",,"Rick Parker",,"Alex Saviuk",,,,,"Howard Mackie"
"Web of Spider-Man, Vol. 1",93,"The Test","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Oct 1992",L08a,"Aug 04, 1992",1992,,,"The Test",,,No,,,,1992,,"Spider-Man (Peter Parker) | Moon Knight (Marc Spector) | Hobgoblin (Jason Macendale Jr.)","Bob Sharen","Alex Saviuk",,,,,,"Howard Mackie | Alex Saviuk | Bob McLeod","Danny Fingeroth","Tom DeFalco","Bob McLeod",,"Steve Dutro",,"Alex Saviuk",,,,,"Howard Mackie"
"Web of Spider-Man, Vol. 1",94,"Target Two","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 1992",L08a,"Sep 01, 1992",1992,,,"Target Two",,,No,,,,1992,,"Spider-Man (Peter Parker) | Moon Knight (Marc Spector) | Hobgoblin (Jason Macendale Jr.)","Renee Witterstaetter | Bob Sharen","Alex Saviuk",,,,,,"Howard Mackie | Alex Saviuk | Don Hudson",,,"Don Hudson",,"Dave Sharpe",,"Alex Saviuk",,,,,"Howard Mackie"
"Web of Spider-Man, Vol. 1",95,"Spirits of Venom - Spirit Of Venom, Part 1: Storm Shadows","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Dec 1992",L08a,"Oct 06, 1992",1992,"Spirit Of Venom",,"Part 1: Storm Shadows",,,No,,,00928102527612,1992,,"Spider-Man (Peter Parker) | Venom (Eddie Brock) | Ghost Rider (Daniel 'Danny' Ketch)","Bob Sharen","Alex Saviuk",,,,,,"Howard Mackie | Alex Saviuk | Joe Rubinstein","Danny Fingeroth","Tom DeFalco","Joe Rubinstein",,"Dave Sharpe",,"Alex Saviuk",,,,,"Howard Mackie"
"Web of Spider-Man, Vol. 1",96,"Spirits of Venom - Part 3","Action | Adventure | Super-Heroes","First Printing","Marvel Comics","Jan 1993",L08a,"Nov 03, 1992",1992,,,"Part 3",,,No,,,75960602527509611,1993,"Alex Saviuk","Spider-Man (Peter Parker) | Venom (Eddie Brock) | Ghost Rider (Daniel 'Danny' Ketch)","Renee Witterstaetter | Bob Sharen","Mark Texeira",,,,,,"Howard Mackie | Alex Saviuk | Dan Panosian",,,"Dan Panosian | Joe Rubinstein",,"Steve Dutro",,"Alex Saviuk",,,,,"Howard Mackie"
"Web of Spider-Man, Vol. 1",97,"Opening Volley","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Feb 1993",L08a,"Dec 01, 1992",1992,,,"Opening Volley",,,No,,,75960602527509711,1993,"Derek Yaniger","Spider-Man (Peter Parker) | May Parker | Elizabeth 'Betty' Brant","Bob Sharen","Derek Yaniger",,,,,,"Terry Kavanagh | Derek Yaniger | Alex Saviuk","Rob Tokar","Tom DeFalco","Joe Rubinstein",,"Steve Dutro",,"Alex Saviuk",,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",98,"Uneasy Alliances...","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Mar 1993",L08a,"Jan 05, 1993",1993,,,"Uneasy Alliances...",,,No,,,75960602527509811,1993,"Derek Yaniger","Spider-Man (Peter Parker) | Joseph 'Robbie' Robertson | Elizabeth 'Betty' Brant","Bob Sharen","Derek Yaniger",,,,,,"Terry Kavanagh | Derek Yaniger | Alex Saviuk","Rob Tokar","Tom DeFalco","Don Hudson",,"Steve Dutro",,"Alex Saviuk",,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",99,"The Swords Are Drawn","Action | Adventure | Super-Heroes","First Printing","Marvel Comics","Apr 1993",L08a,"Feb 02, 1993",1993,,,"The Swords Are Drawn",,1.25,No,,,00928102527604,1993,"Alex Saviuk","Spider-Man (Peter Parker) | May Parker | Elizabeth 'Betty' Brant","Bob Sharen","Alex Saviuk",,,,,,"Terry Kavanagh | Alex Saviuk | Joe Rubinstein","Rob Tokar | Danny Fingeroth","Tom DeFalco","Joe Rubinstein",,"Steve Dutro",,"Alex Saviuk",,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",100A,"Total War","Action | Adventure | Super-Heroes","Foil Cover","Marvel Comics","May 1993",L08a,"Mar 02, 1993",1993,,,"Total War",A,2.95,No,,,07148602527605,1993,"Derek Yaniger","Spider-Man (Peter Parker) | Dragon Man | Fixer (Paul Norbert Ebersol)","Bob Sharen","Alex Saviuk",,,,,,"Terry Kavanagh | Derek Yaniger | Alex Saviuk","Rob Tokar | Danny Fingeroth","Tom DeFalco","Joe Rubinstein",,"Steve Dutro",,"Alex Saviuk",,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",100A,"Total War","Action | Adventure | Super-Heroes","Foil Cover","Marvel Comics","May 1993","BC RAW 03","Mar 02, 1993",1993,,,"Total War",A,2.95,No,,,07148602527605,1993,,,,,,,,,,,,,,,,,,,,,,
"Web of Spider-Man, Vol. 1",101,"Maximum Carnage - Part 2: a Rose By Any Other Name...","Action | Adventure | Super-Heroes","First Printing","Marvel Comics","Jun 1993","BC SETS 02","Apr 06, 1993",1993,,,"Part 2: a Rose By Any Other Name...",,1.25,No,,,75960602527510111,1993,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Bob Sharen","Alex Saviuk",,,,,,"Terry Kavanagh | Alex Saviuk | Don Hudson",,,"Don Hudson",,"Steve Dutro",,"Alex Saviuk",,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",102,"Maximum Carnage - Maximum Carnage, pt 6","Action | Adventure | Super-Heroes","First Printing","Marvel Comics","Jul 1993","BC SETS 02","May 04, 1993",1993,,,"Maximum Carnage, pt 6",,1.25,No,,,75960602527510211,1993,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Black Cat (Felicia Hardy)","James Hosten",,,,,,,"Terry Kavanagh | Alex Saviuk | Don Hudson","Rob Tokar | Danny Fingeroth","Tom DeFalco","Don Hudson",,"Steve Dutro",,"Alex Saviuk",,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",103,"Maximum Carnage - Maximum Carnage, pt 10","Action | Adventure | Super-Heroes","First Printing","Marvel Comics","Aug 1993","BC SETS 02","Jun 01, 1993",1993,,,"Maximum Carnage, pt 10",,1.25,No,,,75960602527510311,1993,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | May Parker","Bob Sharen","Alex Saviuk",,,,,,"Terry Kavanagh | Alex Saviuk | Don Hudson","Rob Tokar","Tom DeFalco","Don Hudson",,"Steve Dutro",,"Alex Saviuk",,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",103,"Maximum Carnage - Maximum Carnage, pt 10","Action | Adventure | Super-Heroes","First Printing","Marvel Comics","Aug 1993","BC RAW 03","Jun 01, 1993",1993,,,"Maximum Carnage, pt 10",,1.25,No,,,75960602527510311,1993,,,,,,,,,,,,,,,,,,,,,,
"Web of Spider-Man, Vol. 1",104,"Infinity Crusade - Crisis Of Conscience, Infinity Crusade, pt 1","Action | Adventure | Super-Heroes","First Printing","Marvel Comics","Sep 1993","BC RAW 03","Jul 07, 1993",1993,"Crisis Of Conscience",,"Infinity Crusade, pt 1",,1.25,No,,,75960602527510411,1993,,"Spider-Man (Peter Parker) | Captain America (Steve Rogers) | The Thing (Benjamin J. Grimm)","Bob Sharen","Alex Saviuk",,,,,,"Terry Kavanagh | Don Hudson","Eric Fein",,"Don Hudson",,"Steve Dutro",,,,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",117A,"Power and Responsibility - Part 1: Shadow Rising / The Double, Part 1: Born Again","Action | Adventure | Super-Heroes","Foil Cover","Marvel Comics","Oct 1994",L08a,"Aug 02, 1994",1994,,,"Part 1: Shadow Rising / The Double, Part 1: Born Again",A,,No,,,75960602527511711,1994,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | May Parker","John Kalisz | Kevin Tinsley",,"Kevin Tinsley","Randy Emberlin",,"Steven Butler",,"Terry Kavanagh | J.M. DeMatteis | Liam Sharp","Eric Fein | Danny Fingeroth | Tom DeFalco","Tom DeFalco","Randy Emberlin | Robin Riggs",,"Steve Dutro | Bill Oakley",,"Liam Sharp | Steven Butler",,,,,"Terry Kavanagh | J.M. DeMatteis"
"Web of Spider-Man, Vol. 1",124,"The Mark of Kaine - Part 1: Walls","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","May 1995",L08a,"Mar 07, 1995",1995,,,"Part 1: Walls",,,No,,,75960602527512411,1995,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Mary Jane Watson-Parker","Kevin Tinsley","Steven Butler",,,,,,"Terry Kavanagh | Steven Butler | Randy Emberlin","Eric Fein | Danny Fingeroth","Bob Budiansky","Randy Emberlin",,"Steve Dutro",,"Steven Butler",,,,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",125A,"Lives Unlived / Shining Armor","Action | Adventure | Super-Heroes","Hologram Cover","Marvel Comics","Jun 1995",L08a,"Apr 04, 1995",1995,,,"Lives Unlived / Shining Armor",A,3.95,No,,,75960602527512511,1995,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Black Cat (Felicia Hardy)","Kevin Tinsley | Nel Yomtov","Steven Butler",,,,,,"Terry Kavanagh | Tod Smith | Steven Butler","Eric Fein | Danny Fingeroth","Bob Budiansky","Randy Emberlin | Jimmy Palmiotti",,"Janice Chiang | Loretta Krol | Steve Dutro",,"Tod Smith | Steven Butler","Terry Kavanagh","Mike Lackey",,,"Terry Kavanagh"
"Web of Spider-Man, Vol. 1",126,"The Trial of Peter Parker - Part 1: Opening Statements","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Jul 1995",L08a,"May 02, 1995",1995,,,"Part 1: Opening Statements",,,No,,,75960602527512611,1995,,"Spider-Man (Peter Parker) | Mary Jane Watson-Parker | Kaine (Peter Parker (Clone))","Kevin Tinsley",,,,,"John Romita Jr.",,"Todd DeZago | Roy Burdine | Randy Emberlin","Eric Fein | Danny Fingeroth","Bob Budiansky","Randy Emberlin | Don Hudson",,"Jonathan Babcock",,"Roy Burdine",,,,,"Todd DeZago"
"Web of Venom: Carnage Born",1A,"Web of Venom: Carnage Born",Super-Heroes,"Regular Kyle Hotz Cover","Marvel Comics","Jan 2019",L08a,"Nov 21, 2018",2018,,,"Web of Venom: Carnage Born",A,4.99,No,,,75960609109600111,2019,"Danilo Beyruth","Carnage (Cletus Kasady)","Cristiane Peter","Kyle Hotz",,,,,,"Donny Cates | Danilo Beyruth",,,,,"Clayton Cowles",,,,,,,"Donny Cates"
"Web of Venom: Carnage Born",1B,"Web of Venom: Carnage Born",Super-Heroes,"Variant Ian Bederman Cover","Marvel Comics","Jan 2019",L08a,"Nov 21, 2018",2018,,,"Web of Venom: Carnage Born",B,,No,,,75960609109600121,2019,"Danilo Beyruth","Carnage (Cletus Kasady)","Cristiane Peter","Ian Bederman",,,,,,"Donny Cates | Danilo Beyruth",,,,,"Clayton Cowles",,,,,,,"Donny Cates"
"Web of Venom: Carnage Born",1C,"Web of Venom: Carnage Born",Super-Heroes,"Incentive Kyle Hotz Virgin Cover","Marvel Comics",,"BC RAW 03","Nov 21, 2018",2018,,,"Web of Venom: Carnage Born",C,4.99,No,,,75960609109600131,,"Danilo Beyruth","Carnage (Cletus Kasady)","Cristiane Peter","Kyle Hotz",,,,,,"Donny Cates | Danilo Beyruth",,,,,"Clayton Cowles",,,,,,,"Donny Cates"
"Web of Venom: Ve'Nam, Vol. 1",1A,,Super-Heroes,"Regular Ryan Stegman Cover","Marvel Comics",,L08a,"Aug 29, 2018",2018,,,,A,,No,,,75960609108900111,,"Juanan Ramírez",,"Felipe Sobreiro","Ryan Stegman",,,,,,"Donny Cates | Juanan Ramírez","Devin Lewis | Nick Lowe",,,,"Clayton Cowles",,,,,,,"Donny Cates"
"Web of Venom: Ve'Nam, Vol. 1",1B,,Super-Heroes,"Variant Goran Parlov Cover","Marvel Comics",,L08a,"Aug 29, 2018",2018,,,,B,,No,,,75960609108900121,,"Juanan Ramírez",,"Felipe Sobreiro","Goran Parlov",,,,,,"Donny Cates | Juanan Ramírez","Devin Lewis | Nick Lowe",,,,"Clayton Cowles",,,,,,,"Donny Cates"
"Webspinners: Tales of Spider-Man",4,"Out Of The Blue (Into The Fire)","Adventure | Super-Heroes","1st Printing","Marvel Comics","Apr 1999",L08a,"Apr 1999",1999,,,"Out Of The Blue (Into The Fire)",,,No,,,75960604718500411,1999,,"Spider-Man (Peter Parker) | J. Jonah Jameson Jr. | Nicholas 'Nick' Fury Sr.","Digital Chameleon","Keith Giffen",,,,,,"Eric Stephenson | Keith Giffen | Andy Smith","Ralph Macchio",,"Andy Smith",,"Benchmark Productions",,"Keith Giffen",,,,,"Eric Stephenson"
"Wedding of Dracula",1,Crossfire,Horror,"1st Printing","Marvel Comics","Jan 1993",L08a,"Jan 1993",1993,,,Crossfire,,,No,,,,1993,,"Dracula (Vlad Tepes Dracula)",,"Gene Colan",,,,,,"Marv Wolfman | Gene Colan | Tom Palmer Sr.",,,"Tom Palmer Sr.",,,,"Gene Colan",,,,,"Marv Wolfman"
"Weirdworld, Vol. 2",1A,"Where the Lost Can Be Found","Action | Adventure | Fantasy | Super-Heroes","Mike Del Mundo Regular Cover","Marvel Comics","Feb 2016",L08a,"Dec 16, 2015",2015,,,"Where the Lost Can Be Found",A,3.99,No,,,75960608416600111,2016,"Michael Del Mundo",,"Michael Del Mundo | Marco D'Alfonso","Michael Del Mundo",,,,,,"Sam Humphries | Michael Del Mundo","Tom Brevoort | Alanna Smith","Axel Alonso",,,"Cory Petit",,,,,,,"Sam Humphries"
"Werewolf by Night, Vol. 1",32,"The Stalker Called Moon Knight","Action | Adventure | Fantasy | Horror | Monster",,"Marvel Comics","Aug 1975",CGC,"Aug 1975",1975,,,"The Stalker Called Moon Knight",,0.25,No,,,,1975,,"Moon Knight (Marc Spector) | Werewolf By Night (Jack Russell) | Frenchie (Jean-Paul DuChamp)","Phil Rachelson",,,"Al Milgrom",,"Gil Kane",,"Doug Moench | Don Perlin | Howie Perlin","Len Wein",,"Howie Perlin",,"Ray Holloway",,"Don Perlin",,,,,"Doug Moench"
"The West Coast Avengers, Vol. 1",3,"Taking Care of Business","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Nov 1984",L08a,"Aug 01, 1984",1984,,,"Taking Care of Business",,,No,,,071486025375,1984,,"Hawkeye (Clint Barton) | Wonder Man (Simon Williams) | Mockingbird (Barbara 'Bobbi' Morse-Barton)","Julianna Ferriter",,,"Brett Breeding",,"Bob Hall",,"Roger Stern | Bob Hall | Brett Breeding","Mark Gruenwald","Jim Shooter","Brett Breeding",,"Rick Parker",,"Bob Hall",,,,,"Roger Stern"
"The West Coast Avengers, Vol. 2",2,Sons!,"Action | Adventure | Super-Heroes",,"Marvel Comics","Nov 1985",L08a,"Nov 1985",1985,,,Sons!,,0.65,No,,,,1985,,"Hawkeye (Clint Barton) | Scarlet Witch (Wanda Maximoff) | Wonder Man (Simon Williams)","Petra Goldberg-Scotese",,,"Joe Sinnott",,"Al Milgrom",,"Steve Englehart | Al Milgrom | Kim DeMulder","Mark Gruenwald","Jim Shooter","Kim DeMulder",,"Tom Orzechowski",,"Al Milgrom",,,,,"Steve Englehart"
"The West Coast Avengers, Vol. 2",3,Singleton!,"Action | Adventure | Super-Heroes",,"Marvel Comics","Dec 1985","BC RAW 03","Dec 1985",1985,,,Singleton!,,0.65,No,,,,1985,,"Iron Man (Anthony 'Tony' Stark) | The Thing (Benjamin J. Grimm) | Hawkeye (Clint Barton)","Petra Goldberg-Scotese",,,"Joe Sinnott",,"Al Milgrom",,"Steve Englehart | Al Milgrom | Joe Sinnott","Mark Gruenwald","Jim Shooter","Joe Sinnott",,"Janice Chiang",,"Al Milgrom",,,,,"Steve Englehart"
"The West Coast Avengers, Vol. 2",4,"Master Pandemonium!","Action | Adventure | Super-Heroes",,"Marvel Comics","Jan 1986",L08a,"Jan 1986",1986,,,"Master Pandemonium!",,0.65,No,,,,1986,,"Iron Man (Anthony 'Tony' Stark) | The Thing (Benjamin J. Grimm) | Hulk (Robert Bruce Banner)","Ken Feduniewicz",,,"Joe Sinnott",,"Al Milgrom",,"Steve Englehart | Al Milgrom | Joe Sinnott","Mark Gruenwald","Jim Shooter","Joe Sinnott",,"Janice Chiang",,"Al Milgrom",,,,,"Steve Englehart"
"The West Coast Avengers, Vol. 2",6,"Quest for Cats!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Mar 1986",L08a,"Mar 1986",1986,,,"Quest for Cats!",,,No,,,07148602100103,1986,,"The Thing (Benjamin J. Grimm) | Hawkeye (Clint Barton) | Wonder Man (Simon Williams)","Ken Feduniewicz",,,"Kyle Baker",,"Al Milgrom",,"Steve Englehart | Al Milgrom | Kyle Baker","Mark Gruenwald","Jim Shooter","Kyle Baker",,"Tom Orzechowski",,"Al Milgrom",,,,,"Steve Englehart"
"The West Coast Avengers, Vol. 2",25,"The Greatest Show on Earth!","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Oct 1987",L08a,"Oct 1987",1987,,,"The Greatest Show on Earth!",,0.75,No,,,07148602100110,1987,,"Iron Man (Anthony 'Tony' Stark) | Hawkeye (Clint Barton) | Wonder Man (Simon Williams)","Christie Scheele",,,"Mike Machlan",,"Al Milgrom",,"Steve Englehart | Al Milgrom | Mike Machlan","Mark Gruenwald",,"Mike Machlan",,"Tom Orzechowski",,"Al Milgrom",,,,,"Steve Englehart"
"The West Coast Avengers, Vol. 2",31,"The Friday Night Frights","Action | Adventure | Super-Heroes","1st Printing","Marvel Comics","Apr 1988",L08a,"Apr 1988",1988,,,"The Friday Night Frights",,,No,,,,1988,,"Iron Man (Anthony 'Tony' Stark) | Hawkeye (Clint Barton) | Sub-Mariner (Namor McKenzie)","Paul Becton",,,"Mike Machlan",,"Al Milgrom",,"Steve Englehart | Al Milgrom | Mike Machlan","Mark Gruenwald",,"Mike Machlan",,"Bill Oakley",,"Al Milgrom",,,,,"Steve Englehart"
"The West Coast Avengers, Vol. 2",47,"With Friends Like These!","Action | Adventure | Super-Heroes",,"Marvel Comics","Aug 1989",L08a,"Aug 1989",1989,,,"With Friends Like These!",,0.75,No,,,07148602100108,1989,,"Captain America (Steve Rogers) | Scarlet Witch (Wanda Maximoff) | She-Hulk (Jennifer Walters)","Bob Sharen","John Byrne",,,,,,"John Byrne | Mike Machlan","Howard Mackie","Tom DeFalco","Mike Machlan",,"Bill Oakley",,"John Byrne",,,,,"John Byrne"
"The West Coast Avengers, Vol. 2",48,"This Ancient Evil","Action | Adventure | Super-Heroes",,"Marvel Comics","Sep 1989",L08a,"Sep 1989",1989,,,"This Ancient Evil",,1.00,No,,,,1989,,"Captain America (Steve Rogers) | Hawkeye (Clint Barton) | Scarlet Witch (Wanda Maximoff)","Bob Sharen","John Byrne",,,,,,"John Byrne | Mike Machlan","Howard Mackie",,"Mike Machlan",,"Bill Oakley",,"John Byrne",,,,,"John Byrne"
"The West Coast Avengers, Vol. 2",49,"Baptism of Fire!","Action | Adventure | Super-Heroes",,"Marvel Comics","Oct 1989",L08a,"Oct 1989",1989,,,"Baptism of Fire!",,1.00,No,,,,1989,"John Byrne","Captain America (Steve Rogers) | Hawkeye (Clint Barton) | Scarlet Witch (Wanda Maximoff)","Bob Sharen","John Byrne",,,,,,"John Byrne","Howard Mackie",,,,"Bill Oakley",,,,,,,"John Byrne"
"The West Coast Avengers, Vol. 2",50,"Return of the Hero","Action | Adventure | Super-Heroes",,"Marvel Comics","Nov 1989",L08a,"Nov 1989",1989,,,"Return of the Hero",,1.00,No,,,07148602100111,1989,,"Iron Man (Anthony 'Tony' Stark) | Sub-Mariner (Namor McKenzie) | Scarlet Witch (Wanda Maximoff)","Bob Sharen","John Byrne",,,,,,"John Byrne | Mike Machlan","Howard Mackie",,"Mike Machlan",,"Bill Oakley",,"John Byrne",,,,,"John Byrne"
"The West Coast Avengers, Vol. 2",51,"I Sing of Arms And Heroes...","Action | Adventure | Super-Heroes",,"Marvel Comics","Nov 1989",L08a,"Nov 1989",1989,,,"I Sing of Arms And Heroes...",,1.00,No,,,07148602100112,1989,,"Iron Man (Anthony 'Tony' Stark) | Scarlet Witch (Wanda Maximoff) | Wasp (Janet van Dyne)","Bob Sharen","John Byrne",,,,,,"John Byrne | Mike Machlan","Howard Mackie","Tom DeFalco","Mike Machlan",,"Bill Oakley",,"John Byrne",,,,,"John Byrne"
"The West Coast Avengers, Vol. 2",52,"Fragments of a Greater Darkness","Action | Adventure | Super-Heroes","First Printing","Marvel Comics","Dec 1989","BC RAW 03","Dec 1989",1989,,,"Fragments of a Greater Darkness",,1.00,No,,,07148602100113,1989,,"Iron Man (Anthony 'Tony' Stark) | Scarlet Witch (Wanda Maximoff) | Wasp (Janet van Dyne)","Bob Sharen","John Byrne",,,,,,"John Byrne | Mike Machlan","Howard Mackie","Tom DeFalco","Mike Machlan",,"Bill Oakley",,"John Byrne",,,,,"John Byrne"
"The West Coast Avengers, Vol. 2",53,"Acts of Vengeance - The Plan Proceeds!","Action | Adventure | Super-Heroes",,"Marvel Comics","Dec 1989",L08a,"Oct 03, 1989",1989,,,"The Plan Proceeds!",,1.00,No,,,07148602100114,1989,,"Iron Man (Anthony 'Tony' Stark) | Scarlet Witch (Wanda Maximoff) | Wasp (Janet van Dyne)","Bob Sharen","John Byrne",,,,,,"John Byrne | Keith Williams","Howard Mackie","Tom DeFalco","Keith Williams",,"Bill Oakley",,"John Byrne",,,,,"John Byrne"
